dish_number,replicate,trial_number,combinations,names_combinations,branch_length,species,species_coverage,total_coverage,date
1,1,1,A,A. niger,0.6451528,A. niger,0,0,2023-10-24
1,1,1,A,A. niger,0.6451528,F. keratoplasticum,NA,0,2023-10-24
1,1,1,A,A. niger,0.6451528,P. ostreatus,NA,0,2023-10-24
2,2,1,A,A. niger,0.6451528,A. niger,0,0,2023-10-24
2,2,1,A,A. niger,0.6451528,F. keratoplasticum,NA,0,2023-10-24
2,2,1,A,A. niger,0.6451528,P. ostreatus,NA,0,2023-10-24
3,3,1,A,A. niger,0.6451528,A. niger,0,0,2023-10-24
3,3,1,A,A. niger,0.6451528,F. keratoplasticum,NA,0,2023-10-24
3,3,1,A,A. niger,0.6451528,P. ostreatus,NA,0,2023-10-24
4,4,1,A,A. niger,0.6451528,A. niger,0,0,2023-10-24
4,4,1,A,A. niger,0.6451528,F. keratoplasticum,NA,0,2023-10-24
4,4,1,A,A. niger,0.6451528,P. ostreatus,NA,0,2023-10-24
5,5,1,A,A. niger,0.6451528,A. niger,0,0,2023-10-24
5,5,1,A,A. niger,0.6451528,F. keratoplasticum,NA,0,2023-10-24
5,5,1,A,A. niger,0.6451528,P. ostreatus,NA,0,2023-10-24
6,6,1,A,A. niger,0.6451528,A. niger,0,0,2023-10-24
6,6,1,A,A. niger,0.6451528,F. keratoplasticum,NA,0,2023-10-24
6,6,1,A,A. niger,0.6451528,P. ostreatus,NA,0,2023-10-24
7,1,2,B,F. keratoplasticum,0.4890572,A. niger,NA,0,2023-10-24
7,1,2,B,F. keratoplasticum,0.4890572,F. keratoplasticum,0,0,2023-10-24
7,1,2,B,F. keratoplasticum,0.4890572,P. ostreatus,NA,0,2023-10-24
8,2,2,B,F. keratoplasticum,0.4890572,A. niger,NA,0,2023-10-24
8,2,2,B,F. keratoplasticum,0.4890572,F. keratoplasticum,0,0,2023-10-24
8,2,2,B,F. keratoplasticum,0.4890572,P. ostreatus,NA,0,2023-10-24
9,3,2,B,F. keratoplasticum,0.4890572,A. niger,NA,0,2023-10-24
9,3,2,B,F. keratoplasticum,0.4890572,F. keratoplasticum,0,0,2023-10-24
9,3,2,B,F. keratoplasticum,0.4890572,P. ostreatus,NA,0,2023-10-24
10,4,2,B,F. keratoplasticum,0.4890572,A. niger,NA,0,2023-10-24
10,4,2,B,F. keratoplasticum,0.4890572,F. keratoplasticum,0,0,2023-10-24
10,4,2,B,F. keratoplasticum,0.4890572,P. ostreatus,NA,0,2023-10-24
11,5,2,B,F. keratoplasticum,0.4890572,A. niger,NA,0,2023-10-24
11,5,2,B,F. keratoplasticum,0.4890572,F. keratoplasticum,0,0,2023-10-24
11,5,2,B,F. keratoplasticum,0.4890572,P. ostreatus,NA,0,2023-10-24
12,6,2,B,F. keratoplasticum,0.4890572,A. niger,NA,0,2023-10-24
12,6,2,B,F. keratoplasticum,0.4890572,F. keratoplasticum,0,0,2023-10-24
12,6,2,B,F. keratoplasticum,0.4890572,P. ostreatus,NA,0,2023-10-24
13,1,3,C,P. ostreatus,0.317777,A. niger,NA,0,2023-10-24
13,1,3,C,P. ostreatus,0.317777,F. keratoplasticum,NA,0,2023-10-24
13,1,3,C,P. ostreatus,0.317777,P. ostreatus,0,0,2023-10-24
14,2,3,C,P. ostreatus,0.317777,A. niger,NA,0,2023-10-24
14,2,3,C,P. ostreatus,0.317777,F. keratoplasticum,NA,0,2023-10-24
14,2,3,C,P. ostreatus,0.317777,P. ostreatus,0,0,2023-10-24
15,3,3,C,P. ostreatus,0.317777,A. niger,NA,0,2023-10-24
15,3,3,C,P. ostreatus,0.317777,F. keratoplasticum,NA,0,2023-10-24
15,3,3,C,P. ostreatus,0.317777,P. ostreatus,0,0,2023-10-24
16,4,3,C,P. ostreatus,0.317777,A. niger,NA,0,2023-10-24
16,4,3,C,P. ostreatus,0.317777,F. keratoplasticum,NA,0,2023-10-24
16,4,3,C,P. ostreatus,0.317777,P. ostreatus,0,0,2023-10-24
17,5,3,C,P. ostreatus,0.317777,A. niger,NA,0,2023-10-24
17,5,3,C,P. ostreatus,0.317777,F. keratoplasticum,NA,0,2023-10-24
17,5,3,C,P. ostreatus,0.317777,P. ostreatus,0,0,2023-10-24
18,6,3,C,P. ostreatus,0.317777,A. niger,NA,0,2023-10-24
18,6,3,C,P. ostreatus,0.317777,F. keratoplasticum,NA,0,2023-10-24
18,6,3,C,P. ostreatus,0.317777,P. ostreatus,0,0,2023-10-24
19,1,4,A+B,"A. niger, F. keratoplasticum",0.8464696,A. niger,0,0,2023-10-24
19,1,4,A+B,"A. niger, F. keratoplasticum",0.8464696,F. keratoplasticum,0,0,2023-10-24
19,1,4,A+B,"A. niger, F. keratoplasticum",0.8464696,P. ostreatus,NA,0,2023-10-24
20,2,4,A+B,"A. niger, F. keratoplasticum",0.8464696,A. niger,0,0,2023-10-24
20,2,4,A+B,"A. niger, F. keratoplasticum",0.8464696,F. keratoplasticum,0,0,2023-10-24
20,2,4,A+B,"A. niger, F. keratoplasticum",0.8464696,P. ostreatus,NA,0,2023-10-24
21,3,4,A+B,"A. niger, F. keratoplasticum",0.8464696,A. niger,0,0,2023-10-24
21,3,4,A+B,"A. niger, F. keratoplasticum",0.8464696,F. keratoplasticum,0,0,2023-10-24
21,3,4,A+B,"A. niger, F. keratoplasticum",0.8464696,P. ostreatus,NA,0,2023-10-24
22,4,4,A+B,"A. niger, F. keratoplasticum",0.8464696,A. niger,0,0,2023-10-24
22,4,4,A+B,"A. niger, F. keratoplasticum",0.8464696,F. keratoplasticum,0,0,2023-10-24
22,4,4,A+B,"A. niger, F. keratoplasticum",0.8464696,P. ostreatus,NA,0,2023-10-24
23,5,4,A+B,"A. niger, F. keratoplasticum",0.8464696,A. niger,0,0,2023-10-24
23,5,4,A+B,"A. niger, F. keratoplasticum",0.8464696,F. keratoplasticum,0,0,2023-10-24
23,5,4,A+B,"A. niger, F. keratoplasticum",0.8464696,P. ostreatus,NA,0,2023-10-24
24,6,4,A+B,"A. niger, F. keratoplasticum",0.8464696,A. niger,0,0,2023-10-24
24,6,4,A+B,"A. niger, F. keratoplasticum",0.8464696,F. keratoplasticum,0,0,2023-10-24
24,6,4,A+B,"A. niger, F. keratoplasticum",0.8464696,P. ostreatus,NA,0,2023-10-24
25,1,5,A+C,"A. niger, P. ostreatus",0.7792742,A. niger,0,0,2023-10-24
25,1,5,A+C,"A. niger, P. ostreatus",0.7792742,F. keratoplasticum,NA,0,2023-10-24
25,1,5,A+C,"A. niger, P. ostreatus",0.7792742,P. ostreatus,0,0,2023-10-24
26,2,5,A+C,"A. niger, P. ostreatus",0.7792742,A. niger,0,0,2023-10-24
26,2,5,A+C,"A. niger, P. ostreatus",0.7792742,F. keratoplasticum,NA,0,2023-10-24
26,2,5,A+C,"A. niger, P. ostreatus",0.7792742,P. ostreatus,0,0,2023-10-24
27,3,5,A+C,"A. niger, P. ostreatus",0.7792742,A. niger,0,0,2023-10-24
27,3,5,A+C,"A. niger, P. ostreatus",0.7792742,F. keratoplasticum,NA,0,2023-10-24
27,3,5,A+C,"A. niger, P. ostreatus",0.7792742,P. ostreatus,0,0,2023-10-24
28,4,5,A+C,"A. niger, P. ostreatus",0.7792742,A. niger,0,0,2023-10-24
28,4,5,A+C,"A. niger, P. ostreatus",0.7792742,F. keratoplasticum,NA,0,2023-10-24
28,4,5,A+C,"A. niger, P. ostreatus",0.7792742,P. ostreatus,0,0,2023-10-24
29,5,5,A+C,"A. niger, P. ostreatus",0.7792742,A. niger,0,0,2023-10-24
