"","obj_id","species","speciesMatched","uuid","ifungorum_number","trait_name","value"
"1","Zhang_and_Elser_1","Cenococcum_graniforme","Cenococcum graniforme","1cb1afe2-36b9-11d5-9548-00d0592d548c",120560,"substrate",""
"2","Zhang_and_Elser_4","Chaetomium_globosum","Chaetomium globosum","1cb181f7-36b9-11d5-9548-00d0592d548c",172545,"substrate",""
"3","Zhang_and_Elser_7","Candida_utilis","Cyberlindnera jadinii","1cb1afc9-36b9-11d5-9548-00d0592d548c",534383,"substrate",""
"4","Zhang_and_Elser_10","Cyttaria_gunnii","Cyttaria gunnii","1cb18654-36b9-11d5-9548-00d0592d548c",141401,"substrate",""
"5","Zhang_and_Elser_13","Dekkera_bruxellensis","Dekkera bruxellensis","8655c9ba-2b93-476f-be28-c86095bca43b",329741,"substrate",""
"6","Zhang_and_Elser_16","Ceratocystis_coerulescens","Endoconidiophora coerulescens","1cb180c4-36b9-11d5-9548-00d0592d548c",357238,"substrate",""
"7","Zhang_and_Elser_19","Hypoxylon_pruinatum","Entoleuca mammata","1cb18ed4-36b9-11d5-9548-00d0592d548c",415807,"substrate",""
"8","Zhang_and_Elser_22","Fusarium_oxysporum","Fusarium oxysporum","1cb18916-36b9-11d5-9548-00d0592d548c",218372,"substrate",""
"9","Zhang_and_Elser_25","Fusarium_oxysporum","Fusarium oxysporum","1cb18916-36b9-11d5-9548-00d0592d548c",218372,"substrate",""
"10","Zhang_and_Elser_28","Gyromitra_californica","Gyromitra californica","55d293c8-2643-4c71-a0a6-38fb0dadac58",331620,"substrate",""
"11","Zhang_and_Elser_31","Articulospora_tetracladia","Hymenoscyphus tetracladius","1cb17e17-36b9-11d5-9548-00d0592d548c",111533,"substrate",""
"12","Zhang_and_Elser_34","Articulospora_tetracladia","Hymenoscyphus tetracladius","1cb17e17-36b9-11d5-9548-00d0592d548c",111533,"substrate",""
"13","Zhang_and_Elser_37","Kluyveromyces_fragilis","Kluyveromyces marxianus","55b568c4-efa1-4187-80af-49a9438cda67",316062,"substrate",""
"14","Zhang_and_Elser_40","Pichia_pastoris","Komagataella pastoris","1cb1b63e-36b9-11d5-9548-00d0592d548c",415539,"substrate",""
"15","Zhang_and_Elser_43","Pichia_pastoris","Komagataella pastoris","1cb1b63e-36b9-11d5-9548-00d0592d548c",415539,"substrate",""
"16","Zhang_and_Elser_46","Lemonniera_terrestris","Lemonniera terrestris","74d7aace-f7bd-4030-b277-356a2e32d599",299428,"substrate",""
"17","Zhang_and_Elser_49","Lunulospora_curvula","Lunulospora curvula","1cb191e1-36b9-11d5-9548-00d0592d548c",287848,"substrate",""
"18","Zhang_and_Elser_52","Monascus_purpureus","Monascus olei","072cc2d0-dcad-4501-887e-7373eea8e1b4",144686,"substrate",""
"19","Zhang_and_Elser_55","Morchella_elata","Morchella elata","1cb1b4c2-36b9-11d5-9548-00d0592d548c",212987,"substrate",""
"20","Zhang_and_Elser_58","Myrothecium_verrucaria","Albifimbria verrucaria","1cb194f8-36b9-11d5-9548-00d0592d548c",815927,"substrate",""
"21","Zhang_and_Elser_61","Heliscus_lugdunensis","Neonectria lugdunensis","1cb1b1be-36b9-11d5-9548-00d0592d548c",810155,"substrate",""
"22","Zhang_and_Elser_64","Heliscus_lugdunensis","Neonectria lugdunensis","1cb1b1be-36b9-11d5-9548-00d0592d548c",810155,"substrate",""
"23","Zhang_and_Elser_67","Heliscus_lugdunensis","Neonectria lugdunensis","1cb1b1be-36b9-11d5-9548-00d0592d548c",810155,"substrate",""
"24","Zhang_and_Elser_70","Heliscus_lugdunensis","Neonectria lugdunensis","1cb1b1be-36b9-11d5-9548-00d0592d548c",810155,"substrate",""
"25","Zhang_and_Elser_73","Heliscus_lugdunensis","Neonectria lugdunensis","1cb1b1be-36b9-11d5-9548-00d0592d548c",810155,"substrate",""
"26","Zhang_and_Elser_76","Heliscus_lugdunensis","Neonectria lugdunensis","1cb1b1be-36b9-11d5-9548-00d0592d548c",810155,"substrate",""
"27","Zhang_and_Elser_79","Heliscus_lugdunensis","Neonectria lugdunensis","1cb1b1be-36b9-11d5-9548-00d0592d548c",810155,"substrate",""
"28","Zhang_and_Elser_82","Heliscus_lugdunensis","Neonectria lugdunensis","1cb1b1be-36b9-11d5-9548-00d0592d548c",810155,"substrate",""
"29","Zhang_and_Elser_85","Heliscus_lugdunensis","Neonectria lugdunensis","1cb1b1be-36b9-11d5-9548-00d0592d548c",810155,"substrate",""
"30","Zhang_and_Elser_88","Heliscus_lugdunensis","Neonectria lugdunensis","1cb1b1be-36b9-11d5-9548-00d0592d548c",810155,"substrate",""
"31","Zhang_and_Elser_91","Heliscus_lugdunensis","Neonectria lugdunensis","1cb1b1be-36b9-11d5-9548-00d0592d548c",810155,"substrate",""
"32","Zhang_and_Elser_94","Heliscus_lugdunensis","Neonectria lugdunensis","1cb1b1be-36b9-11d5-9548-00d0592d548c",810155,"substrate",""
"33","Zhang_and_Elser_97","Heliscus_lugdunensis","Neonectria lugdunensis","1cb1b1be-36b9-11d5-9548-00d0592d548c",810155,"substrate",""
"34","Zhang_and_Elser_100","Heliscus_lugdunensis","Neonectria lugdunensis","1cb1b1be-36b9-11d5-9548-00d0592d548c",810155,"substrate",""
"35","Zhang_and_Elser_103","Heliscus_lugdunensis","Neonectria lugdunensis","1cb1b1be-36b9-11d5-9548-00d0592d548c",810155,"substrate",""
"36","Zhang_and_Elser_106","Hansenula_polymorpha","Ogataea polymorpha","29f6a56c-0271-4426-ac98-953988f46c21",362660,"substrate",""
"37","Zhang_and_Elser_109","Coniothyrium_minitans","Paraphaeosphaeria minitans","1cb1849d-36b9-11d5-9548-00d0592d548c",800766,"substrate",""
"38","Zhang_and_Elser_112","Coniothyrium_minitans","Paraphaeosphaeria minitans","1cb1849d-36b9-11d5-9548-00d0592d548c",800766,"substrate",""
"39","Zhang_and_Elser_115","Penicillum_chrysogenum","Penicillum chrysogenum",NA,NA,"substrate",""
"40","Zhang_and_Elser_118","Saccharomyces_cerevisiae","Saccharomyces cerevisiae","71750ee1-b386-49f4-b162-7ca8477a0487",NA,"substrate",""
"41","Zhang_and_Elser_121","Saccharomyces_cerevisiae","Saccharomyces cerevisiae","71750ee1-b386-49f4-b162-7ca8477a0487",NA,"substrate",""
"42","Zhang_and_Elser_124","Saccharomyces_cerevisiae","Saccharomyces cerevisiae","71750ee1-b386-49f4-b162-7ca8477a0487",NA,"substrate",""
"43","Zhang_and_Elser_127","Saccharomyces_cerevisiae","Saccharomyces cerevisiae","71750ee1-b386-49f4-b162-7ca8477a0487",NA,"substrate",""
"44","Zhang_and_Elser_130","Saccharomyces_cerevisiae","Saccharomyces cerevisiae","71750ee1-b386-49f4-b162-7ca8477a0487",NA,"substrate",""
"45","Zhang_and_Elser_133","Saccharomyces_cerevisiae","Saccharomyces cerevisiae","71750ee1-b386-49f4-b162-7ca8477a0487",NA,"substrate",""
"46","Zhang_and_Elser_136","Saccharomyces_cerevisiae","Saccharomyces cerevisiae","71750ee1-b386-49f4-b162-7ca8477a0487",NA,"substrate",""
"47","Zhang_and_Elser_139","Saccharomyces_cerevisiae","Saccharomyces cerevisiae","71750ee1-b386-49f4-b162-7ca8477a0487",NA,"substrate",""
"48","Zhang_and_Elser_142","Saccharomyces_cerevisiae","Saccharomyces cerevisiae","71750ee1-b386-49f4-b162-7ca8477a0487",NA,"substrate",""
"49","Zhang_and_Elser_145","Saccharomyces_cerevisiae","Saccharomyces cerevisiae","71750ee1-b386-49f4-b162-7ca8477a0487",NA,"substrate",""
"50","Zhang_and_Elser_148","Saccharomyces_cerevisiae","Saccharomyces cerevisiae","71750ee1-b386-49f4-b162-7ca8477a0487",NA,"substrate",""
"51","Zhang_and_Elser_151","Saccharomyces_cerevisiae","Saccharomyces cerevisiae","71750ee1-b386-49f4-b162-7ca8477a0487",NA,"substrate",""
"52","Zhang_and_Elser_154","Saccharomyces_cerevisiae","Saccharomyces cerevisiae","71750ee1-b386-49f4-b162-7ca8477a0487",NA,"substrate",""
"53","Zhang_and_Elser_157","Saccharomyces_cerevisiae","Saccharomyces cerevisiae","71750ee1-b386-49f4-b162-7ca8477a0487",NA,"substrate",""
"54","Zhang_and_Elser_160","Saccharomyces_cerevisiae","Saccharomyces cerevisiae","71750ee1-b386-49f4-b162-7ca8477a0487",NA,"substrate",""
"55","Zhang_and_Elser_163","Saccharomyces_cerevisiae","Saccharomyces cerevisiae","71750ee1-b386-49f4-b162-7ca8477a0487",NA,"substrate",""
"56","Zhang_and_Elser_166","Saccharomyces_cerevisiae","Saccharomyces cerevisiae","71750ee1-b386-49f4-b162-7ca8477a0487",NA,"substrate",""
"57","Zhang_and_Elser_169","Saccharomyces_cerevisiae","Saccharomyces cerevisiae","71750ee1-b386-49f4-b162-7ca8477a0487",NA,"substrate",""
"58","Zhang_and_Elser_172","Saccharomyces_cerevisiae","Saccharomyces cerevisiae","71750ee1-b386-49f4-b162-7ca8477a0487",NA,"substrate",""
"59","Zhang_and_Elser_175","Saccharomyces_cerevisiae","Saccharomyces cerevisiae","71750ee1-b386-49f4-b162-7ca8477a0487",NA,"substrate",""
"60","Zhang_and_Elser_178","Saccharomyces_cerevisiae","Saccharomyces cerevisiae","71750ee1-b386-49f4-b162-7ca8477a0487",NA,"substrate",""
"61","Zhang_and_Elser_181","Saccharomyces_cerevisiae","Saccharomyces cerevisiae","71750ee1-b386-49f4-b162-7ca8477a0487",NA,"substrate",""
"62","Zhang_and_Elser_184","Saccharomyces_cerevisiae","Saccharomyces cerevisiae","71750ee1-b386-49f4-b162-7ca8477a0487",NA,"substrate",""
"63","Zhang_and_Elser_187","Saccharomyces_cerevisiae","Saccharomyces cerevisiae","71750ee1-b386-49f4-b162-7ca8477a0487",NA,"substrate",""
"64","Zhang_and_Elser_190","Saccharomyces_cerevisiae","Saccharomyces cerevisiae","71750ee1-b386-49f4-b162-7ca8477a0487",NA,"substrate",""
